id,title,release_date,genres,vote_average,overview
1419406,Escuadrón letal,2025-08-16,"Acción, Crimen, Drama, Suspense",7.212,"Unos astutos y traicioneros ladrones desafian a la Policía Judicial de Macao. La Policía, que se encontraba en una dura batalla, invita de nuevo al experto en rastreo Huang De Zhong, retirado desde hace muchos años, a unir fuerzas con la joven élite del Departamento de Investigación Criminal de la Policía Judicial. Bajo la colisión de las técnicas tradicionales de rastreo y la alta tecnología, la policía y los criminales luchan con ingenio y valentía, y se lanzan a un duelo entre el bien y el mal parecido al juego del gato y el ratón."
875828,Peaky Blinders: El hombre inmortal,2026-03-05,"Crimen, Drama",7.5,"El gánster Tommy Shelby regresa a Birmingham para salvar a su familia —y a su país— cuando su hijo, del que se ha distanciado, se ve envuelto en un complot nazi."
1290821,Shelter: El Protector,2026-01-28,"Acción, Crimen, Suspense",6.6,"Un recluso en una remota isla escocesa rescata a una niña del mar, desencadenando una peligrosa secuencia de acontecimientos."
1171145,Ruta de escape,2026-02-11,"Crimen, Suspense",7.022,"Davis es un escurridizo ladrón cuyos atracos de alto riesgo tienen desconcertada a la policía. Davis está planeando su mayor golpe, con la esperanza de que sea el último, cuando se cruza en su camino Sharon, una desilusionada ejecutiva de seguros con la que se ve obligado a trabajar, y Orman un ladrón rival, con métodos mucho más inquietantes que los de Davis. A medida que se acerca el golpe multimillonario, el implacable teniente Lubesnik, se acerca a la operación, aumentando considerablemente el riesgo de lo que está en juego y difuminando la línea entre cazador y presa. Pronto, cada uno tendrá que aceptar el coste de sus decisiones asumiendo que no hay vuelta atrás."
1310568,Asesinato en la Embajada,2025-11-14,"Misterio, Suspense, Acción",5.803,"1934. Miranda Green, detective privada, investiga un asesinato perpetrado en la embajada británica en El Cairo, donde se robó un documento de alto secreto, con el riesgo de poner en peligro el Palacio de Buckingham y la paz del mundo."
11427,Dead End: Atajo al infierno,2003-12-12,"Misterio, Terror, Suspense",6.365,"De camino para visitar a sus familiares y poder pasar el día de Nochebuena junto a ellos, Frank Harrington lleva a su familia por un atajo a través de un bosque, pero lo que en un principio iba a ser una buena idea acaba convirtiéndose en el mayor error de su vida. Aterrorizados, los Harrington tendrán un objetivo, abandonar cuanto antes la carretera por la que optaron en un principio."
1511417,Baahubali: The Epic,2025-10-29,"Acción, Drama",5.985,"Cuando una pareja tribal encuentra a un niño misterioso cerca de una estruendosa cascada, lo crían como si fuera suyo. A medida que crece, Sivudu se siente atraído por el mundo más allá de los acantilados, donde descubre el antiguo reino de Mahishmati, gobernado por un tirano cruel, asolado por la rebelión y ligado a su propio pasado. Lo que comienza como una búsqueda por amor, pronto desentraña un legado de traición, sacrificio y un príncipe olvidado."
142254,Jeanne Eagels,1957-08-02,Drama,6.0,"Biopic sobre la estrella de Broadway de los años 20 Jeanne Eagels (1894-1929). Aunque Eagels aspira a ser una gran actriz, acepta un trabajo como bailarina en un pequeño local neoyorquino. Cuando llega a ""La Gran Manzana"", recibe clases de la estricta Madame Neilson, logrando así debutar en Broadway en 1922."
1193501,Whistle: El silbido del mal,2026-01-20,"Terror, Misterio",6.1,"Un grupo de estudiantes inadaptados encuentra por accidente un objeto maldito: un antiguo silbato de la muerte azteca. Al soplarlo, descubren que el terrorífico sonido que produce invoca a sus propias muertes futuras para perseguirlos. Mientras las víctimas aumentan, los amigos intentan descubrir el origen del artefacto y detener la terrible cadena de sucesos que han provocado."
1426964,Hermandad: Estado de terror,2026-02-10,"Acción, Suspense, Crimen, Drama",5.4,"En medio de una ola de violencia inédita que sacude São Paulo, una abogada ligada al mundo criminal debe pactar con la policía para salvar a su sobrina secuestrada."
1050332,E,2015-10-01,Drama,4.1,
1032892,En un instante,2026-01-26,"Ciencia ficción, Drama",5.079,"Tres historias interconectadas reflexionan sobre la esperanza, las relaciones humanas y el ciclo de la vida a lo largo de miles de años."
78786,Las más famosas estafas del mundo,1964-08-14,"Crimen, Comedia",5.3,"Film por episodios que reúne a directores tan distintos como los franceses Claude Chabrol y Jean-Luc Godard, el italiano Ugo Gregoretti, el japonés Hiromichi Horikawa y el franco-polaco Roman Polanski. Cada uno de ellos relata una estafa supuestamente célebre y real."
823464,Godzilla y Kong: El nuevo imperio,2024-03-27,"Acción, Aventura, Ciencia ficción",7.048,"Una aventura cinematográfica completamente nueva, que enfrentará al todopoderoso Kong y al temible Godzilla contra una colosal amenaza desconocida escondida dentro de nuestro mundo. La nueva y épica película profundizará en las historias de estos titanes, sus orígenes y los misterios de Isla Calavera y más allá, mientras descubre la batalla mítica que ayudó a forjar a estos seres extraordinarios y los unió a la humanidad para siempre."
299534,Vengadores: Endgame,2019-04-24,"Aventura, Ciencia ficción, Acción",8.235,"Tras el chasquido de Thanos que eliminó a la mitad de la vida en el universo, los Vengadores supervivientes quedan devastados y divididos. Cinco años después, una inesperada oportunidad les permite intentar revertir la catástrofe. Reuniéndose una vez más, los héroes emprenden una misión extrema que los obliga a viajar al pasado, enfrentarse a sus propias pérdidas y hacer sacrificios definitivos para restaurar el equilibrio del universo."
1306368,El botín,2026-01-13,"Acción, Suspense, Crimen",7.1,"El descubrimiento de varios millones de dólares en efectivo en un zulo abandonado de Miami quiebra la confianza de un grupo de policías. Ahora, todo y todos están bajo sospecha."
301221,E,2014-03-26,Documental,3.2,
9552,El exorcista,1973-12-26,Terror,7.739,"Regan es una niña de doce años víctima de fenómenos paranormales como la levitación o la manifestación de una fuerza sobrehumana. Su madre, aterrorizada, tras someter a su hija a múltiples análisis médicos que no ofrecen ningún resultado, acude a un sacerdote con estudios de psiquiatría. Éste está convencido de que el mal no es físico sino espiritual, es decir, que la niña es víctima de una posesión diabólica. Por eso, con la ayuda de otro sacerdote decide practicar un exorcismo."
11431,Amor en juego,2005-04-06,"Romance, Comedia",6.2,"El profesor de instituto Ben Wrightman (Jimmy Fallon) es un buen partido. Es encantador, divertido y fantástico con los niños. Cuando conoce a Lindsey Meeks (Drew Barrymore), una ambiciosa asesora comercial cuyo espíritu refulge tanto como su belleza, la atracción que sienten el uno por el otro es inmediata. Por supuesto, tienen sus diferencias. Ella es una adicta al trabajo, él adora sus vacaciones de verano. Él vive y respira por los Red Sox; ella no distingue a Carl Yastrzemski de Johnny Damon. Pero el verdadero amor vence cualquier obstáculo… al menos hasta que empiezan los entrenamientos de primavera de los Red Sox. Cuando los adorados Boston Red Sox llevan a cabo una de las temporadas más increíbles de la historia del béisbol, Ben y Lindsey deben decidir si, como pareja, rompen o luchan por mantener vivo su amor con entradas extras."
1209288,Liga de la Justicia: Crisis en Tierras Infinitas - Parte 2,2024-04-22,"Animación, Ciencia ficción, Acción",6.7,El Antimonitor (la contrapartida malvada del Monitor) se desata en el Multiverso DC y comienza a destruir las diferentes Tierras que lo componen. El Monitor intenta reclutar a héroes de todo el Multiverso para contraatacar.
